,Unnamed: 0,Star_name,Distance,Mass,Radius
0,0,SDSS J000013.54+255418.6 [de],46.1,4.932624,0.0009450421200000001
2,2,2MASS J00040288-6410358,192.0,1.952497,0.00155597844
4,4,2MASS J00242463-0158201,37.7,8.118276999999999,0.0010405009200000002
6,6,2MASS J00274197+0503417,236.0,3.185653,0.00137460672
8,8,2MASSW J0030300-145033,87.2,5.549201999999999,0.00093549624
9,9,2MASS J00332386-1521309 [de],131.0,2.980127,0.00136506084
10,10,2MASS J00345157+0523050,31.0,4.316046,0.00089731272
11,11,2MASS 0036+1821,28.6,4.316046,0.00089731272
12,12,2MASSW J0045214+163445,57.0,2.363549,0.00154643256
13,13,WISEP J004701.06+680352.1 [fr],40.0,1.233156,0.0012409644000000001
14,14,2MASS J00501994-3322402 [de],34.0,4.110519999999999,0.00089731272
16,16,2MASS J00584253-0651239 [de],96.0,2.980127,0.00136506084
18,18,2MASSI J0103320+193536,70.0,5.343675999999999,0.00093549624
19,19,SDSSp J010752.33+004156.1 [de],51.0,5.343675999999999,0.00093549624
20,20,2MASSI J0117474-340325 [de],163.0,2.0552599999999996,0.00154643256
21,21,2MASS J01415823-4633574 [de],130.0,2.0552599999999996,0.0015368866800000002
22,22,SDSS J015141.69+124429.6,70.0,4.829860999999999,0.00092595036
26,26,SDSS J020742.48+000056.2 [de],111.0,4.829860999999999,0.00092595036
27,27,2MASS J02103857-3015313,101.0,1.541445,0.00146051964
28,28,2MASS J02340093-6442068,155.0,2.0552599999999996,0.00154643256
29,29,2MASS J02411151-0326587 [de],152.0,2.7746009999999997,0.00134596908
30,30,2MASS J02431371−2453298,35.0,3.3911789999999997,0.0009450421200000001
31,31,LP 771-21,53.0,8.015514,0.0010309550400000001
33,33,Teegarden's star,12.578,8.221039999999999,0.0012123267600000001
34,34,2MASS J02535980+3206373,184.0,6.679595,0.0018137172
35,35,WISE J0254+0223,24.0,6.679595,0.0018137172
36,36,DEN 0255-4700,16.2,8.221039999999999,0.00092595036
37,37,2MASS J03185403-3421292 [de],45.0,5.035387,0.00092595036
38,38,2MASS J03205965+1854233,47.0,9.043144,0.0010977762
39,39,2MASS J03231002-4631237,192.0,2.363549,0.00158461608
40,40,SDSS J032553.17+042540.1,59.0,4.624334999999999,0.0009068586
41,41,2MASS J03264225-2102057 [de],80.0,1.8497339999999998,0.0012409644000000001
42,42,2MASS J03284265+2302051 [de],98.0,5.549201999999999,0.00093549624
43,43,2MASS J03341218-4953322,27.0,7.5016989999999995,0.00099277152
44,44,LP 944-20,20.9,7.5016989999999995,0.00136506084
45,45,2MASP J0345432+254023,88.0,7.604462,0.0010023174
46,46,Teide 1,380.0,5.651965,0.00360834264
47,47,2MASS J03510004-0052452,48.0,10.481826,0.0012123267600000001
48,48,2MASS J03552337+1133437,29.8,2.0552599999999996,0.00126005616
50,50,2MASS J04151954−0935066,18.6,3.08289,0.0009068586
52,52,2MASS J04285096-2253227 [de],85.0,8.221039999999999,0.0010405009200000002
53,53,2MASS J04351612-1606574,34.0,10.276299999999999,0.00120278088
54,54,2MASS J04362788-4114465,142.0,4.007757,0.00188053836
55,55,2MASS J04390101-2353083 [de],29.5,4.932624,0.00092595036
57,57,2MASS J04433764+0002040,82.0,2.260786,0.00169916664
58,58,2MASS J04455387-3048204 [de],42.0,6.576832,0.000954588
59,59,2MASS J04510093-3402150 [de],69.0,7.398935999999999,0.00099277152
60,60,2MASS J05002100+0330501 [de],44.0,6.576832,0.000954588
61,61,2MASS J05012406-0010452 [de],64.0,2.158023,0.00131733144
62,62,2MASS J05160945-0445499 [de],73.0,4.829860999999999,0.00092595036
63,63,2MASS J0523−1403,40.0,6.987883999999999,0.00096413388
65,65,SDSS J053951.99-005902.0,41.62,6.268542999999999,0.00096413388
67,67,LSR 0602+3910 [de],34.6,2.877364,0.00134596908
68,68,2MASS J06085283-2753583,102.0,3.904994,0.00144142788
71,71,2MASS J06244595-4521548 [de],39.0,5.754728,0.0009450421200000001
72,72,2MASS J06411840-4322329 [de],65.0,6.885121,0.00096413388
73,73,DENIS-P J0652197-253450 [de],51.0,7.707224999999999,0.0010023174
